token	transliteration	segmentation	root
понял	ponyal	ponya l	ponya
поняла	ponyala	ponya l a	ponya
попавшими	popavshimi	popa vsh i mi	popa
попадание	popadaniye	popad a ni ye	popad
попало	popalo	popa l o	popa
попробовать	poprobovat'	po prob ova t'	prob
порадовать	poradovat'	po rad ova t'	rad
поражает	porazhayet	po ra<zh> a yet	ra<zh>
поражен	porazhen	po ra<zh> en	ra<zh>
поражением	porazheniyem	po ra<zh> eni yem	ra<zh>
породившей	porodivshey	po rod i vsh ey	rod
породы	porody	porod y	porod
порядке	poryadke	poryadk e	poryadk
поселений	poseleniy	po sel eni y	sel
посещал	poseschal	posesch a l	posesch
посещении	poseschenii	posesch eni i	posesch
послал	poslal	po sl a l	sl
последнего	poslednego	posledn ego	posledn
Последнее	Posledneye	Posledn eye	Posledn
Последняя	Poslednyaya	Posledn yaya	Posledn
последовало	posledovalo	po sled ova l o	sled
последствий	posledstviy	po sled stv iy	sled
последствиям	posledstviyam	po sled stv i yam	sled
послужил	posluzhil	po slu<zh> i l	slu<zh>
посмотреть	posmotret'	po smotr e t'	smotr
посоветовали	posovetovali	po sovet ova l i	sovet
посольства	posol'stva	po sol' stv a	sol'
посольством	posol'stvom	po sol' stv om	sol'
поставили	postavili	po stav i l i	stav
поставить	postavit'	po stav i t'	stav
постепенно	postepenno	postepenn o	postepenn
постоянными	postoyannymi	postoyann ymi	postoyann
пострадавшей	postradavshey	po strad a vsh ey	strad
пострадавшем	postradavshem	po strad a vsh em	strad
построенная	postroyennaya	po stro yenn aya	stro
поступает	postupayet	postup a yet	postup
поступало	postupalo	postup a l o	postup
Поступают	Postupayut	Postup a yut	Postup
потенциальных	potentsial'nyh	potentsial' n yh	potentsial'
потерь	poter'	po ter'	ter'
потерял	poteryal	po ter ya l	ter
потоки	potoki	potok i	potok
потомки	potomki	potom k i	potom
потоп	potop	potop	potop
Потоп	Potop	Potop	Potop
потопал	potopal	po top a l	top
потребления	potrebleniya	potrebl eni ya	potrebl
потребностей	potrebnostey	po treb n ost ey	treb
потряхивает	potryahivayet	po tryah iva yet	tryah
потухшим	potuhshim	po tuh sh im	tuh
похожие	pohozhiye	po ho<zh> iye	ho<zh>
похолодания	poholodaniya	po holod a ni ya	holod
почвы	pochvy	pochv y	pochv
почитать	pochitat'	po chit a t'	chit
Почти	Pochti	Pochti	Pochti
почувствовали	pochuvstvovali	po chu v stv ova l i	chu
пошёл	poshol	po sho l	sho
пошла	poshla	po sh l a	sh
появиться	poyavit'sya	po yav i t' sya	yav
появление	poyavleniye	po yavl eni ye	yavl
появления	poyavleniya	po yavl eni ya	yavl
правило	pravilo	pravil o	pravil
Правильно	Pravil'no	Pravil' n o	Pravil'
правительственного	pravitel'stvennogo	prav i tel' stv enn ogo	prav
правительство	pravitel'stvo	prav i tel' stv o	prav
практике	praktike	prakt ik e	prakt
превысил	prevysil	pre vys i l	vys
превышает	prevyshayet	pre vy<sh> a yet	vy<sh>
превышать	prevyshat'	pre vy<sh> a t'	vy<sh>
превышении	prevyshenii	pre vy<sh> eni i	vy<sh>
предельном	predel'nom	predel' n om	predel'
предлагает	predlagayet	predlag a yet	predlag
предложила	predlozhila	predlo<zh> i l a	predlo<zh>
предостережением	predosterezheniyem	pred ostere<zh> eni yem	ostere<zh>
предположения	predpolozheniya	predpolo<zh> eni ya	predpolo<zh>
предположительно	predpolozhitel'no	predpolo<zh> i tel'n o	predpolo<zh>
предпринимает	predprinimayet	predprinim a yet	predprinim
предсказали	predskazali	pred skaz a l i	skaz
представил	predstavil	predstav i l	predstav
представители	predstaviteli	predstav i tel i	predstav
представитель	predstavitel'	predstav i tel'	predstav
представителя	predstavitelya	predstav i tel ya	predstav
представить	predstavit'	predstav i t'	predstav
предупреждает	preduprezhdayet	preduprezhd a yet	preduprezhd
предупреждали	preduprezhdali	preduprezhd a l i	preduprezhd
предупреждают	preduprezhdayut	preduprezhd a yut	preduprezhd
предупреждением	preduprezhdeniyem	preduprezhd eni yem	preduprezhd
предшествовал	predshestvoval	pred she stv ova l	she
предшествовала	predshestvovala	pred she stv ova l a	she
предыдущие	predyduschiye	pred yd usch iye	yd
предыдущих	predyduschih	pred yd usch ih	yd
президенту	prezidentu	prezident u	prezident
прекрасная	prekrasnaya	prekrasn aya	prekrasn
прекрасный	prekrasnyy	prekrasn yy	prekrasn
прекратились	prekratilis'	prekrat i l i s'	prekrat
прекратит	prekratit	prekrat it	prekrat
прекращения	prekrascheniya	prekra<sch> eni ya	prekra<sch>
преодолела	preodolela	pre odol e l a	odol
прервать	prervat'	pre rv a t'	rv
пресной	presnoy	presn oy	presn
привезли	privezli	pri vez l i	vez
привела	privela	pri ve l a	ve
привести	privesti	pri vest i	vest
прививкам	privivkam	pri vi v k am	vi
прививках	privivkah	pri vi v k ah	vi
Прививки	Privivki	Pri vi v k i	vi
прививок	privivok	pri vi v ok	vi
привитых	privityh	pri vi t yh	vi
приводит	privodit	pri vod it	vod
приехали	priyehali	pri yeh a l i	yeh
призвала	prizvala	pri zv a l a	zv
приземлилось	prizemlilos'	pri zeml i l o s'	zeml
признаком	priznakom	priznak om	priznak
признал	priznal	prizna l	prizna
призывом	prizyvom	pri zyv om	zyv
применяемые	primenyayemyye	primen ya yem yye	primen
принесет	prineset	pri nes et	nes
принца	printsa	prints a	prints
принципу	printsipu	printsip u	printsip
приняли	prinyali	prinya l i	prinya
приостановленными	priostanovlennymi	pri ostanovl enn ymi	ostanovl
припоминаю	pripominayu	pri pomin a yu	pomin
припомнить	pripomnit'	pri pomn i t'	pomn
природа	priroda	prirod a	prirod
Природа	Priroda	Prirod a	Prirod
природной	prirodnoy	prirod n oy	prirod
присвоен	prisvoyen	pri svo yen	svo
притоками	pritokami	pri tok ami	tok
притоках	pritokah	pri tok ah	tok
причинам	prichinam	prichin am	prichin
причинен	prichinen	prichin en	prichin
причины	prichiny	prichin y	prichin
пришел	prishel	pri she l	she
пришло	prishlo	pri sh l o	sh
проведена	provedena	pro ved en a	ved
проведены	provedeny	pro ved en y	ved
провиантом	proviantom	proviant om	proviant
провинций	provintsiy	provintsi y	provintsi
проводят	provodyat	pro vod yat	vod
проволочный	provolochnyy	provolo<ch> n yy	provolo<ch>
программы	programmy	programm y	programm
продажу	prodazhu	proda zh u	proda
продемонстрировали	prodemonstrirovali	pro demonstr ir ova l i	demonstr
продовольственные	prodovol'stvennyye	prodovol'stv enn yye	prodovol'stv
продовольствие	prodovol'stviye	prodovol'stv i ye	prodovol'stv
продовольствия	prodovol'stviya	prodovol'stv i ya	prodovol'stv
продолжает	prodolzhayet	prodol<zh> a yet	prodol<zh>
продолжал	prodolzhal	prodol<zh> a l	prodol<zh>
продолжались	prodolzhalis'	prodol<zh> a l i s'	prodol<zh>
продолжают	prodolzhayut	prodol<zh> a yut	prodol<zh>
продолжая	prodolzhaya	prodol<zh> a ya	prodol<zh>
продолжили	prodolzhili	prodol<zh> i l i	prodol<zh>
продуктов	produktov	produkt ov	produkt
продукции	produktsii	produkts i i	produkts
проектировщиков	proyektirovschikov	proyekt ir ov schik ov	proyekt
произведенную	proizvedennuyu	proizved enn u yu	proizved
производитель	proizvoditel'	proizvod i tel'	proizvod
произнесено	proizneseno	proiznes en o	proiznes
происходило	proishodilo	prois hod i l o	hod
Происшествия	Proisshestviya	Prois <sh>e stv i ya	<sh>e
прокомментировал	prokommentiroval	pro komment ir ova l	komment
пролив	proliv	proliv	proliv
проливные	prolivnyye	pro li v n yye	li
прольются	prol'yutsya	pro l' yut sya	l'
промокшего	promokshego	pro mok sh ego	mok
пропавших	propavshih	propa vsh ih	propa
пропали	propali	propa l i	propa
просочиться	prosochit'sya	pro soch i t' sya	soch
проспекту	prospektu	prospekt u	prospekt
простейшие	prosteyshiye	prost eysh iye	prost
просьбой	pros'boy	pros' b oy	pros'
протекает	protekayet	pro tek a yet	tek
протеста	protesta	protest a	protest
протесты	protesty	protest y	protest
против	protiv	protiv	protiv
противопаводковую	protivopavodkovuyu	protiv o pa vod k ov uyu	protiv vod
противостояния	protivostoyaniya	protiv o sto ya ni ya	protiv sto
противоэпидемические	protivoepidemicheskiye	protiv o epidem ichesk iye	protiv epidem
проходить	prohodit'	pro hod i t'	hod
проценты	protsenty	protsent y	protsent
процесс	protsess	protsess	protsess
прочие	prochiye	proch iye	proch
прошедшей	proshedshey	pro shed sh ey	shed
прошлым	proshlym	pro sh l ym	sh
прошлых	proshlyh	pro sh l yh	sh
прошу	proshu	prosh u	prosh
прямой	pryamoy	pryam oy	pryam
пунктов	punktov	punkt ov	punkt
пункты	punkty	punkt y	punkt
пустил	pustil	pust i l	pust
пустыне	pustyne	pust yn e	pust
пустыни	pustyni	pust yn i	pust
пытаются	pytayutsya	pyt a yut sya	pyt
пытаясь	pytayas'	pyt a ya s'	pyt
пятеро	pyatero	pyat er o	pyat
пяти	pyati	pyat i	pyat
пятницу	pyatnitsu	pyat nits u	pyat
пятой	pyatoy	pyat oy	pyat
рабами	rabami	rab ami	rab
работает	rabotayet	rabot a yet	rabot
работали	rabotali	rabot a l i	rabot
работах	rabotah	rabot ah	rabot
работают	rabotayut	rabot a yut	rabot
работники	rabotniki	rabot nik i	rabot
работников	rabotnikov	rabot nik ov	rabot
Рабочие	Rabochiye	Raboch iye	Raboch
равнинное	ravninnoye	ravn in n oye	ravn
равно	ravno	ravn o	ravn
равняется	ravnyayetsya	ravn ya yet sya	ravn
радиационная	radiatsionnaya	rad i atsi onn aya	rad
разгар	razgar	raz gar	gar
разговоре	razgovore	raz govor e	govor
различаются	razlichayutsya	raz li<ch> a yut sya	li<ch>
различной	razlichnoy	raz li<ch> n oy	li<ch>
разложившимся	razlozhivshimsya	raz lozh i vsh im sya	lozh
разлом	razlom	raz lom	lom
разлома	razloma	raz lom a	lom
размахивая	razmahivaya	raz mah iva ya	mah
Размещение	Razmescheniye	Raz me<sch> eni ye	me<sch>
размножения	razmnozheniya	raz mno<zh> eni ya	mno<zh>
разновидности	raznovidnosti	razn o vid n ost i	razn vid
разослали	razoslali	razo sl a l i	sl
разразилась	razrazilas'	razraz i l a s'	razraz
разрушают	razrushayut	raz rush a yut	rush
разрушениях	razrusheniyah	raz rush eni yah	rush
Разрушенная	Razrushennaya	Raz rush enn aya	rush
разрушенных	razrushennyh	raz rush enn yh	rush
разрушено	razrusheno	raz rush en o	rush
разрушила	razrushila	raz rush i l a	rush
разрушительного	razrushitel'nogo	raz rush i tel'n ogo	rush
разрушительное	razrushitel'noye	raz rush i tel'n oye	rush
Разумеется	Razumeyetsya	Raz um e yet sya	um
района	rayona	rayon a	rayon
районе	rayone	rayon e	rayon
районов	rayonov	rayon ov	rayon
ракетный	raketnyy	raket n yy	raket
Ракетных	Raketnyh	Raket n yh	Raket
ранений	raneniy	ran eni y	ran
раненые	ranenyye	ran en yye	ran
раненых	ranenyh	ran en yh	ran
ранним	rannim	ran n im	ran
раскинуты	raskinuty	ras ki nu t y	ki
располагается	raspolagayetsya	ras po lag a yet sya	lag
располагаются	raspolagayutsya	ras po lag a yuts ya	lag
расположенные	raspolozhennyye	ras po lo<zh> enn yye	lo<zh>
расположенный	raspolozhennyy	ras po lo<zh> enn yy	lo<zh>
расположены	raspolozheny	ras po lo<zh> en y	lo<zh>
распространение	rasprostraneniye	rasprostran eni ye	rasprostran
распространилась	rasprostranilas'	rasprostran i l a s'	rasprostran
рассеиваться	rasseivat'sya	ras se iva t' sya	se
рассказывает	rasskazyvayet	ras skaz yva yet	skaz
рассказывают	rasskazyvayut	ras skaz yva yut	skaz
расследование	rassledovaniye	ras sled ova ni ye	sled
расстреляли	rasstrelyali	ras strel ya l i	strel
расстреляло	rasstrelyalo	ras strel ya l o	strel
расстройство	rasstroystvo	ras stroy stv o	stroy
растет	rastet	ra<st> et	ra<st>
расти	rasti	ra<st> i	ra<st>
расходов	rashodov	ras hod ov	hod
расходует	rashoduyet	ras hod u yet	hod
реакторное	reaktornoye	reaktor n oye	reaktor
реально	real'no	real'n o	real'n
реальны	real'ny	real'n y	real'n
ребенка	rebenka	reb enk a	reb
ревакцинация	revaktsinatsiya	re vaktsin atsi ya	vaktsin
региона	regiona	region a	region
регулирующими	reguliruyuschimi	regul ir u yusch imi	regul
регуляции	regulyatsii	regul yatsi i	regul
Редакци	Redaktsi	Redakts i	Redakts
режиме	rezhime	rezhim e	rezhim
резал	rezal	rez a l	rez
резервуаров	rezervuarov	rezervuar ov	rezervuar
резко	rezko	rezk o	rezk
реки	reki	rek i	rek
рекорд	rekord	rekord	rekord
рекордный	rekordnyy	rekord n yy	rekord
рекордов	rekordov	rekord ov	rekord
ремонт	remont	remont	remont
республиканский	respublikanskiy	respublik an sk iy	respublik
республики	respubliki	respublik i	respublik
ресурсы	resursy	resurs y	resurs
речь	rech'	rech'	rech'
решена	reshena	resh en a	resh
решетки	reshetki	reshetk i	reshetk
рис	ris	ris	ris
риска	riska	risk a	risk
ровно	rovno	rovn o	rovn
ровной	rovnoy	rovn oy	rovn
родину	rodinu	rod in u	rod
родных	rodnyh	rodn yh	rodn
Розалии	Rozalii	Rozali i	Rozali
Росздравнадзор	Roszdravnadzor	Ros zdrav nadzor	Ros zdrav nadzor
Роспотребнадзор	Rospotrebnadzor	Ros potreb nadzor	Ros potreb nadzor
Российские	Rossiyskiye	Ross iy sk iye	Ross
российского	rossiyskogo	ross iy sk ogo	ross
Россия	Rossiya	Ross i ya	Ross
ротации	rotatsii	rot atsi i	rot
ротовой	rotovoy	rot ov oy	rot
ружья	ruzh'ya	ruzh' ya	ruzh'
руками	rukami	ruk ami	ruk
руки	ruki	ruk i	ruk
русло	ruslo	rusl o	rusl
русне	rusne	rusn e	rusn
русским	russkim	rus sk im	rus
рухнувшего	ruhnuvshego	ruh nu vsh ego	ruh
ряда	ryada	ryad a	ryad
Сайга	Sayga	Sayg a	Sayg
салоне	salone	salon e	salon
Самаком	Samakom	Samak om	Samak
Самая	Samaya	Sam aya	Sam
самого	samogo	sam ogo	sam
Самое	Samoye	Sam oye	Sam
самолеты	samolety	sam o let y	sam let
самые	samyye	sam yye	sam
Самые	Samyye	Sam yye	Sam
самым	samym	sam ym	sam
Санкции	Sanktsii	Sanktsi i	Sanktsi
Сахалине	Sahaline	Sahalin e	Sahalin
сбоям	sboyam	s bo yam	bo
сбоях	sboyah	s bo yah	bo
сбрасывать	sbrasyvat'	s br<a>s yva t'	br<a>s
сброс	sbros	s bros	bros
сбывают	sbyvayut	sby va yut	sby
свадебный	svadebnyy	svad eb n yy	svad
сведения	svedeniya	s ved eni ya	ved
Свердловскую	Sverdlovskuyu	Sverdlov sk uyu	Sverdlov
свет	svet	svet	svet
света	sveta	svet a	svet
свето	sveto	svet o	svet
Свидетельство	Svidetel'stvo	Svide tel' stv o	Svide
Свидетелями	Svidetelyami	Svide tel yami	Svide
Свои	Svoi	Svo i	Svo
своих	svoih	svo ih	svo
свыше	svyshe	s vysh e	vysh
связан	svyazan	s vyaz an	vyaz
связанный	svyazannyy	s vyaz ann yy	vyaz
связях	svyazyah	s vyaz yah	vyaz
священнослужителям	svyaschennosluzhitelyam	svyasch enn o sluzh i tel yam	svyasch sluzh
сгустили	sgustili	s gust i l i	gust
сдать	sdat'	s da t'	da
сдаче	sdache	s da ch e	da
сделал	sdelal	s del a l	del
северную	severnuyu	sever n uyu	sever
северный	severnyy	sever n yy	sever
сейсмическую	seysmicheskuyu	seysm i<ch> esk uyu	seysm
сейчас	seychas	seychas	seychas
Сейчас	Seychas	Seychas	Seychas
секретарь	sekretar'	sekretar'	sekretar'
секторе	sektore	sektor e	sektor
села	sela	sel a	sel
сельские	sel'skiye	sel' sk iye	sel'
семей	semey	sem ey	sem
семидесяти	semidesyati	sem i desyat i	sem
семь	sem'	sem'	desyat
сентября	sentyabrya	sentyabr ya	sentyabr
Сербии	Serbii	Serb ii	Serb
серьезными	ser'yeznymi	ser'yez n ymi	ser'yez
Сибири	Sibiri	Sibir i	Sibir
сигнал	signal	signal	signal
силами	silami	sil ami	sil
силы	sily	sil y	sil
сильнейшего	sil'neyshego	sil' n eysh ego	sil'
сильные	sil'nyye	sil' n yye	sil'
симптомов	simptomov	simptom ov	simptom
симптомы	simptomy	simptom y	simptom
синоптиков	sinoptikov	sinoptik ov	sinoptik
систематическим	sistematicheskim	sistem at ichesk im	sistem
системы	sistemy	sistem y	sistem
ситуации	situatsii	situatsi i	situatsi
ситуация	situatsiya	situatsi ya	situatsi
сказал	skazal	skaz a l	skaz
сказали	skazali	skaz a l i	skaz
сказать	skazat'	skaz a t'	skaz
скину	skinu	s ki n u	ki
складе	sklade	sklad e	sklad
скользить	skol'zit'	skol'z i t'	skol'z
сколько	skol'ko	skol'k o	skol'k
скончалась	skonchalas'	s konch a l a s'	konch
скорее	skoreye	skor eye	skor
скоро	skoro	skor o	skor
скорость	skorost'	skor ost'	skor
Скорость	Skorost'	Skor ost'	Skor
скоростью	skorost'yu	skor ost' yu	skor
скрыли	skryli	skry l i	skry
скупали	skupali	s kup a l i	kup
Слабым	Slabym	Slab ym	Slab
слава	slava	slav a	slav
славилось	slavilos'	slav i l o s'	slav
следует	sleduyet	sled u yet	sled
следующего	sleduyuschego	sled u yusch ego	sled
следующий	sleduyuschiy	sled u yusch iy	sled
слепоте	slepote	slep ot e	slep
слизистые	slizistyye	sliz ist yye	sliz
Слово	Slovo	Slov o	Slov
слоем	sloyem	slo yem	slo
Случаи	Sluchai	Sluch a i	Sluch
случаю	sluchayu	sluch a yu	sluch
случаются	sluchayutsya	sluch a yut sya	sluch
случая	sluchaya	sluch a ya	sluch
случившегося	sluchivshegosya	sluch i vsh ego sya	sluch
случившееся	sluchivsheyesya	sluch i vsh eye sya	sluch
смертельным	smertel'nym	smert el'n ym	smert
смерти	smerti	smert i	smert
смерть	smert'	smert'	smert'
Смерть	Smert'	Smert'	Smert'
сметена	smetena	s met en a	met
смещается	smeschayetsya	s me<sch> a yet sya	me<sch>
смогла	smogla	s mog l a	mog
смогут	smogut	s mog ut	mog
смотря	smotrya	smotr ya	smotr
смягчает	smyagchayet	s myag<ch> a yet	myag<ch>
снега	snega	sneg a	sneg
снегопада	snegopada	sneg o pad a	sneg
снежной	snezhnoy	sne<zh> n oy	pad
снежном	snezhnom	sne<zh> n om	sne<zh>
снежных	snezhnyh	sne<zh> n yh	sne<zh>
снижении	snizhenii	s ni<zh> eni i	sne<zh>
снижения	snizheniya	s ni<zh> eni ya	ni<zh>
Снимки	Snimki	Snim k i	ni<zh>
Снимок	Snimok	Snim ok	Snim
со	so	so	Snim
собираемую	sobirayemuyu	so bir a yem uyu	bir
собрался	sobralsya	so br a l sya	br
собственно	sobstvenno	sobstvenn o	sobstvenn
событий	sobytiy	sobyti y	sobyti
совершаться	sovershat'sya	soversh a t' sya	soversh
совершающих	sovershayuschih	soversh a yusch ih	soversh
совершенно	sovershenno	sovershenn o	sovershenn
совместно	sovmestno	so vmest n o	vmest
современной	sovremennoy	so vrem en n oy	vrem
согласен	soglasen	soglas en	soglas
Согласно	Soglasno	Soglas n o	Soglas
сограждана	sograzhdana	so grazhd an a	grazhd
содействия	sodeystviya	sodeystv iya	sodeystv
сожалению	sozhaleniyu	sozhal e ni yu	sozhal
создали	sozdali	sozda l i	sozda
создана	sozdana	sozda n a	sozda
созданы	sozdany	sozda n y	sozda
создают	sozdayut	sozda yut	sozda
солнце	solntse	solnts e	solnts
сообщалось	soobschalos'	soobsch a l o s'	soobsch
сообщения	soobscheniya	soobsch eni ya	soobsch
сообщество	soobschestvo	so obsch estv o	obsch
сообществом	soobschestvom	so obsch estv om	obsch
сообщила	soobschila	soobsch i l a	soobsch
сообщили	soobschili	soobsch i l i	soobsch
соотечественники	sootechestvenniki	so otech estv enn ik i	otech
сопереживают	soperezhivayut	so pere zhi va yut	zhi
сопровождавшихся	soprovozhdavshihsya	so pro vozhd a vsh ih sya	vozhd
сопровождается	soprovozhdayetsya	so pro vozhd a yet sya	vozhd
Сосед	Sosed	Sosed	Sosed
соседней	sosedney	sosed n ey	sosed
состав	sostav	sostav	sostav
составит	sostavit	sostav it	sostav
составляет	sostavlyayet	sostavl ya yet	sostavl
сотен	soten	sot en	sot
сотрудника	sotrudnika	so trud nik a	trud
сотрудников	sotrudnikov	so trud nik ov	trud
сотрудницы	sotrudnitsy	so trud nits y	trud
сотрясло	sotryaslo	so tryas l o	tryas
сошедшей	soshedshey	so shed sh ey	shed
сошло	soshlo	so sh l o	sh
спад	spad	s pad	pad
спасает	spasayet	spas a yet	spas
спасли	spasli	spas l i	spas
специалисты	spetsialisty	spetsial ist y	spetsial
специально	spetsial'no	spetsial'n o	spetsial'n
специальную	spetsial'nuyu	spetsial'n uyu	spetsial'n
специальные	spetsial'nyye	spetsial'n yye	spetsial'n
специальный	spetsial'nyy	spetsial'n yy	spetsial'n
специальными	spetsial'nymi	spetsial'n ymi	spetsial'n
Спикер	Spiker	Spiker	Spiker
спланированный	splanirovannyy	s plan ir ova nn yy	plan
спорной	spornoy	spor n oy	spor
спровоцировала	sprovotsirovala	s provots ir ova l a	provots
Спутник	Sputnik	S put nik	put
спутниковых	sputnikovyh	s put nik ov yh	put
сравнения	sravneniya	sravn eni ya	sravn
сразу	srazu	s raz u	raz
среди	sredi	sredi	sredn
среднегодовым	srednegodovym	sredn e god ov ym	god
среднем	srednem	sredn em	sredn
Средний	Sredniy	Sredn iy	Sredn
средства	sredstva	sredstv a	sredstv
средствах	sredstvah	sredstv ah	sredstv
средством	sredstvom	sredstv om	sredstv
срочной	srochnoy	sro<ch> n oy	sro<ch>
ссылки	ssylki	s syl k i	syl
ста	sta	sta	sta
стажем	stazhem	stazh em	stazh
Стамбула	Stambula	Stambul a	Stambul
станет	stanet	sta n et	sta
становления	stanovleniya	stanovl eni ya	stanovl
станция	stantsiya	stantsi ya	stantsi
станциями	stantsiyami	stantsi yami	stantsi
старейших	stareyshih	star eysh ih	star
статус	status	status	status
статье	stat'ye	stat' ye	stat'
стенах	stenah	sten ah	sten
стены	steny	sten y	sten
Стихия	Stihiya	Stihi ya	Stihi
сто	sto	st o	st
стоит	stoit	sto it	sto
Стоит	Stoit	Sto it	Sto
стойкого	stoykogo	stoy k ogo	stoy
стока	stoka	s tok a	tok
стол	stol	stol	stol
столицу	stolitsu	stolits u	stolits
столкнуться	stolknut'sya	s tolk nu t' sya	tolk
столовую	stolovuyu	stol ov uyu	stol
стояли	stoyali	sto ya l i	sto
страдающих	stradayuschih	strada yusch ih	strada
страна	strana	stran a	stran
странах	stranah	stran ah	stran
странной	strannoy	strann oy	strann
страну	stranu	stran u	stran
стратовулкан	stratovulkan	strat o vulkan	strat vulkan
страховщик	strahovschik	strah ov sch ik	strah
строительства	stroitel'stva	stro i tel' stv a	stro
строителя	stroitelya	stro i tel ya	stro
строят	stroyat	stro yat	stro
студентам	studentam	student am	student
субботу	subbotu	subbot u	subbot
суд	sud	sud	Sudan
Судане	Sudane	Sudan e	sudan
суданским	sudanskim	sudan sk im	sud
судов	sudov	sud ov	sud
судоходной	sudohodnoy	sud o hod n oy	hod
судя	sudya	sud ya	sud
суровые	surovyye	surov yye	surov
сухое	suhoye	suh oye	suh
Сухом	Suhom	Suh om	Suh
сухопутные	suhoputnyye	suh o put n yye	suh put
сформирована	sformirovana	s form ir ova n a	form
сфотографировал	sfotografiroval	s foto graf ir ova l	foto graf
схода	shoda	s hod a	hod
сходит	shodit	s hod it	hod
сходом	shodom	s hod om	hod
Счастливые	Schastlivyye	Schast liv yye	Schast
счет	schet	s chet	chet
счёт	schot	s chot	chot
считался	schitalsya	schit a l sya	schit
считаю	schitayu	schit a yu	schit
считают	schitayut	schit a yut	schit
считаются	schitayutsya	schit a yut sya	schit
Таиланда	Tailanda	Tailand a	Tailand
тайной	taynoy	tay n oy	tay
тайским	tayskim	tay sk im	tay
тайфуна	tayfuna	tayfun a	tayfun
такие	takiye	tak iye	tak
Такого	Takogo	Tak ogo	Tak
такое	takoye	tak oye	tak
таком	takom	tak om	tak
такси	taksi	taksi	taksi
Татарстана	Tatarstana	Tatarstan a	Tatarstan
Татарстане	Tatarstane	Tatarstan e	Tatarstan
тающего	tayuschego	ta yusch ego	ta
тела	tela	tel a	tel
телеканал	telekanal	tele kanal	tele kanal
телеканала	telekanala	tele kanal a	tele kanal
тема	tema	tem a	tem
темное	temnoye	tem n oye	tem
температура	temperatura	temperatur a	temperatur
температуры	temperatury	temperatur y	temperatur
темы	temy	tem y	tem
теоретически	teoreticheski	teor et ichesk i	teor
теракт	terakt	ter akt	ter akt
терактах	teraktah	ter akt ah	ter akt
терактом	teraktom	ter akt om	ter akt
территорией	territoriyey	territori yey	territori
территорию	territoriyu	territori yu	territori
террорист	terrorist	terror ist	terror
террористам	terroristam	terror ist am	terror
теряют	teryayut	ter ya yut	ter
техника	tehnika	tehn ik a	tehn
Тёплый	Toplyy	Topl yy	Topl
типичная	tipichnaya	tip ichn aya	tip
тифа	tifa	tif a	tif
тифом	tifom	tif om	tif
Тихого	Tihogo	Tih ogo	Tih
Тихом	Tihom	Tih om	Tih
того	togo	t ogo	t ogo
тока	toka	tok a	tok
толерантен	toleranten	tolerant en	tolerant
толком	tolkom	tolk om	tolk
толчки	tolchki	tol<ch> k i	tol<ch>
толчок	tolchok	tol<ch> ok	tol<ch>
Только	Tol'ko	Tol'ko	Tol'ko
тонн	tonn	tonn	tonn
тоннами	tonnami	tonn ami	tonnel
тоннеле	tonnele	tonnel e	tonnel
тот	tot	tot	tot
точке	tochke	tochk e	tochk
трагедия	tragediya	trag edi ya	trag
трагедия	tragicheskiye	trag ichesk iye	trag
траекторию	trayektoriyu	trayektori yu	trayektori
транспорта	transporta	transport a	transport
трансформации	transformatsii	transform atsi i	transform
трассах	trassah	trass ah	trass
требовалось	trebovalos'	treb ova l o s'	treb
требуют	trebuyut	treb u yut	treb
третью	tret'yu	tr et' yu	tr
троллейбусами	trolleybusami	trolley bus ami	trolley bus
тропический	tropicheskiy	tropi<ch> esk iy	tropi<ch>
тропической	tropicheskoy	tropi<ch> esk oy	tropi<ch>
тротуары	trotuary	trotuar y	trotuar
трудности	trudnosti	trudn ost i	trudn
тряски	tryaski	tryas k i	tryas
туда	tuda	tuda	Turets
Турецкие	Turetskiye	Turets k iye	tur
туротрасли	turotrasli	tur ot ras l i	ras
Турция	Turtsiya	Tur ts iya	Tur
Тут	Tut	Tut	Tut
тыловых	tylovyh	tyl ov yh	tyl
тысячам	tysyacham	tysyach am	tysyach
Тысячи	Tysyachi	Tysyach i	Tysyach
тяжелой	tyazheloy	tya<zh> el oy	tya<zh>
тяжелые	tyazhelyye	tya<zh> el yye	tya<zh>
убить	ubit'	ubi t'	ubi
увеличении	uvelichenii	u veli<ch> eni i	veli<ch>
увеличению	uvelicheniyu	u veli<ch> eni yu	veli<ch>
увеличенная	uvelichennaya	u veli<ch> enn aya	veli<ch>
увеличилась	uvelichilas'	u veli<ch> i l a s'	veli<ch>
уверен	uveren	u ver en	ver
уверенности	uverennosti	u ver enn ost i	ver
уверяют	uveryayut	u ver ya yut	ver
угодий	ugodiy	ugod iy	ugod
удается	udayetsya	uda yet sya	uda
ударная	udarnaya	udar n aya	udar
уезде	uyezde	uyezd e	uyezd
уже	uzhe	uzhe	uzhe
узнав	uznav	u zna v	zna
узнавали	uznavali	u zna v a l i	zna
указанному	ukazannomu	ukaz a nn omu	ukaz
Украинский	Ukrainskiy	Ukrain sk iy	Ukrain
украинцы	ukraintsy	ukrain ts y	ukrain
укрепленных	ukreplennyh	u krepl enn yh	krepl
укрылись	ukrylis'	u kry l i s'	kry
улиц	ulits	ulits	ulits
улица	ulitsa	ulits a	ulits
улицах	ulitsah	ulits ah	ulits
улыбнулась	ulybnulas'	ulyb nu l a s'	ulyb
умирают	umirayut	u mir a yut	mir
