token	transliteration	segmentation
நீதிபதிகள்	niidhibadhihal	niidhi badhi hal
நீதிமன்ற	niidhimanra	niidhi manra
நீதிமன்றத்தில்	niidhimanraththil	niidhi manra thth il
நீதிமன்றத்தின்	niidhimanraththin	niidhi manra thth in
நீதிமன்றம்	niidhimanram	niidhi manra m
நீதியை	niidhiyai	niidhi yai
நீராகாரம்	niiraahaaram	niir aahaa ram
நீரில்	niiril	niir il
நீரை	niirai	niir ai
நீரைத்	niiraith	niir ai th
நீரோட்டம்	niiroottam	niir oott am
நீர்மட்டம்	niirmattam	niir matt am
நீர்வரத்து	niirvaraththu	niir vara ththu
நீல	niila	niila
நீலம்	niilam	niila m
நுட்ப	nutpa	nut pa
நூற்றுக்கணக்கான	nuutrukkanakkaana	nuutru kkanakk aana
நெஞ்சில்	nenjil	nen jil
நெடுஞ்சாலையில்	nedunjaalaiyil	nedun jaalai yil
நெரிசல்	nerisal	neri sal
நெருக்கத்தில்	nerukkaththil	neru kka ththil
நெருங்கிப்	nerungip	neru ngi p
நேர	neera	neer a
நேரடியாக	neeradiyaaha	neer adi yaaha
நேரத்தில்	neeraththil	neer athth il
நேரத்திற்கு	neeraththirku	neer athth irku
நேரம்	neeram	neer am
நேரில்	neeril	neer il
நேருக்கு	neerukku	neer ukku
நேர்	neer	neer
நேர்ந்த	neerndha	neer ndha
நேற்றிரவு	neetriravu	neetr iravu
நேற்று	neetru	neetr u
நேற்றுப்	neetrup	neetr u p
நேற்றைய	neetraiya	neetr ai ya
நோக்கிப்	nookkip	nookki p
நோயாளிகளை	nooyaalihalai	nooy aali hal ai
நோயாளிகள்	nooyaalihal	nooy aali hal
நோயினால்	nooyinaal	nooy in aal
நோய்	nooy	nooy
நோய்கள்	nooykal	nooy kal
நோய்க்	nooyk	nooy k
நோய்த்	nooyth	nooy th
நோய்ப்	nooyp	nooy p
பகல்	pahal	pahal
பகுதி	pahudhi	pahudhi
பகுதிகளின்	pahudhihalin	pahudhi hal in
பகுதிகளைத்	pahudhihalaith	pahudhi hal ai th
பகுதிகள்	pahudhihal	pahudhi hal
பகுதிக்கு	pahudhikku	pahudhi kku
பகுதியளவில்	pahudhiyalavil	pahudhi yala vil
பகுதியாக	pahudhiyaaha	pahudhi ya aha
பகுதியிலும்	pahudhiyilum	pahudhi yil um
பகுதியை	pahudhiyai	pahudhi yai
பக்கத்தில்	pakkaththil	pakka<thth> il
பங்கு	pangu	pangu
பசிபிக்கில்	pasibikkil	pasi bikk il
பசுபிக்	pasubik	pasu bi k
பச்சை	pachchai	pachch ai
பஞ்சம்	panjam	pan jam
படகு	padahu	padahu
படகுகள்	padahuhal	padahu hal
படத்தில்	padaththil	pada ththil
படிக்க	padikka	padi kka
படித்து	padiththu	padi ththu
படிந்து	padindhu	padi ndhu
படுகாயம்	paduhaayam	padu haay am
படேல்	padeel	pad eel
படையினரின்	padaiyinarin	padai yinar in
பட்சத்தில்	patchaththil	patcha thth il
பண	pana	pana
பணி	pani	pani
பணிகளில்	panihalil	pani hal il
பணிகளுக்காக	panihalukkaaha	pani hal ukka aha
பணிகளுக்கு	panihalukku	pani hal ukku
பணிகளை	panihalai	pani hal ai
பணிகளையும்	panihalaiyum	pani hal ai yum
பணிகள்	panihal	pani hal
பணிப்பாளர்	panippaalar	pani ppaal ar
பணியகம்	paniyaham	pani ya ham
பணியாளர்கள்	paniyaalarkal	pani yaa lar kal
பணியாற்றிய	paniyaatriya	pani yaa triya
பணியில்	paniyil	pani yil
பணியின்	paniyin	pani yin
பணியை	paniyai	pani yai
பண்டாரகம	pantaarahama	pantaa rahama
பதவி	padhavi	padha vi
பதற்றத்துடன்	padhatraththudan	padha tra thth udan
பதிவாகியுள்ளது	padhivaahiyulladhu	padhi vaahiyu lladhu
பதிவானதாகவும்	padhivaanadhaahavum	padhi vaana dha aha vum
பதிவின்	padhivin	padhi vin
பதிவு	padhivu	padhi vu
பத்து	paththu	paththu
பயங்கரவாதம்	payangaravaadham	paya ngara vaadham
பயணத்தை	payanaththai	paya na thth ai
பயணம்	payanam	paya nam
பயணிகள்	payanihal	paya ni hal
பயன்	payan	paya n
பயன்படுத்த	payanbaduththa	payan badu ththa
பயன்படுத்தப்படுகின்றன	payanbaduththappaduhinrana	payan badu ththa ppadu hinr ana
பயன்படுத்தி	payanbaduththi	payan badu ththi
பயன்படுத்திய	payanbaduththiya	payan badu ththi ya
பயிர்	payir	payir
பயிர்களையும்	payirkalaiyum	payir kal ai yum
பரபரப்பு	parabarappu	para bara ppu
பரவலைத்	paravalaith	para val ai th
பரவல்	paraval	para val
பரவியது	paraviyadhu	para vi yadhu
பரவிவிடும்	paravividum	para vi vidum
பரவும்	paravum	para vum
பராமரிக்க	paraamarikka	paraa mari kka
பரிசோதனை	parisoodhanai	pari soodhanai
பரிதவிக்கும்	paridhavikkum	pari dhavi kkum
பருவ	paruva	paruva
பருவக்காற்றை	paruvakkaatrai	paruva kkaat rai
பருவமழை	paruvamazai	paruva mazai
பருவம்	paruvam	paruva m
பலசேனா	palaseenaa	pala see naa
பலத்த	palaththa	pala ththa
பலர்	palar	pala r
பலா	palaa	palaa
பலி	pali	pali
பலியாகியுள்ளனர்	paliyaahiyullanar	pali yaahi yulla nar
பலியாயினர்	paliyaayinar	pali yaayi nar
பல்கலைக்	palkalaik	pal kal ai k
பல்வேறு	palveeru	pal veeru
பழமை	pazamai	paza mai
பழைய	pazaiya	paza iya
பள்ளம்	pallam	pall am
பள்ளி	palli	palli
பள்ளிகளில்	pallihalil	palli hal il
பள்ளிக்கு	pallikku	palli kku
பள்ளியில்	palliyil	palli yil
பள்ளியின்	palliyin	palli yin
பறக்கிறது	parakkiradhu	para kkir adhu
பற்றி	patri	patri
பற்றிய	patriya	patri ya
பனிச்சரிவில்	panichcharivil	pani chchari vil
பனிச்சரிவு	panichcharivu	pani chchari vu
பனிப்புயல்	panippuyal	pani ppuyal
பன்முகப்	panmuhap	pan muha p
பன்றி	panri	panri
பன்றிக்	panrik	panri k
பன்றிக்காய்ச்சல்	panrikkaaychchal	panri kkaay chchal
பாகிஸ்தானியர்கள்	paahisthaaniyarkal	paa histhaani yar kal
பாகிஸ்தானில்	paahisthaanil	paa histhaan il
பாடசாலை	paadasaalai	paada saalai
பாடசாலைகள்	paadasaalaihal	paada saalai hal
பாடம்	paadam	paada m
பாதாள	paadhaala	paadhaa la
பாதி	paadhi	paadhi
பாதிக்கப்பட்ட	paadhikkappatta	paadhi kka ppatta
பாதிக்கப்பட்டவர்களுக்கு	paadhikkappattavarkalukku	paadhi kka ppatta var kal ukku
பாதிக்கப்பட்டவர்களை	paadhikkappattavarkalai	paadhi kka ppatta var kal ai
பாதிக்கப்பட்டன	paadhikkappattana	paadhi kka ppatt ana
பாதிக்கப்பட்டு	paadhikkappattu	paadhi kka ppattu
பாதிக்கப்பட்டுள்ள	paadhikkappattulla	paadhi kka ppatt ulla
பாதிக்கப்பட்டுள்ளதாக	paadhikkappattulladhaaha	paadhi kka ppatt ulla dhaa ha
பாதிக்கப்பட்டுள்ளது	paadhikkappattulladhu	paadhi kka ppatt ulla dhu
பாதிக்கப்பட்டுள்ளன	paadhikkappattullana	paadhi kka ppatt ulla na
பாதிக்கப்பட்டுள்ளனர்	paadhikkappattullanar	paadhi kka ppatt ulla nar
பாதிக்கிறது	paadhikkiradhu	paadhi kki radhu
பாதித்த	paadhiththa	paadhi ththa
பாதித்துள்ளது	paadhiththulladhu	paadhi thth ulladhu
பாதிப்பினை	paadhippinai	paadhi ppi nai
பாதிப்புகளை	paadhippuhalai	paadhi ppu hal ai
பாதிப்புக்குள்ளான	paadhippukkullaana	paadhi ppu kkulla ana
பாதிப்பும்	paadhippum	paadhi ppum
பாதிப்பை	paadhippai	paadhi ppai
பாதுகாக்க	paadhuhaakka	paadhu haakka
பாதுகாக்கப்பட்டுள்ளது	paadhuhaakkappattulladhu	paadhu haakka ppatt ulladhu
பாதுகாப்பாக	paadhuhaappaaha	paadhu haa ppaa ha
பாதுகாப்பு	paadhuhaappu	paadhu haa ppu
பாய்கிறது	paaykiradhu	paay kira dhu
பாருங்கள்	paarungal	paar ungal
பார்த்து	paarththu	paar ththu
பார்வை	paarvai	paar vai
பார்வையிட்டார்	paarvaiyittaar	paar vai yitt aar
பார்வையிட்டு	paarvaiyittu	paar vai yittu
பாலியல்	paaliyal	paali yal
பாலைவனத்தைக்	paalaivanaththaik	paalai vana thth ai k
பால்	paal	paal
பிடிக்கும்	pidikkum	pidi kkum
பிரகடனம்	pirahadanam	pira hada nam
பிரச்சாரம்	pirachchaaram	pira chchaa ram
பிரச்சினை	pirachchinai	pira chchi nai
பிரச்சினைகளில்	pirachchinaihalil	pira chchi nai hal il
பிரச்சினைக்கு	pirachchinaikku	pira chchi nai kku
பிரச்னை	pirachnai	pira ch nai
பிரதமர்	piradhamar	pira dha mar
பிரதான	piradhaana	pira dhaa na
பிரதிபா	piradhibaa	pira dhi baa
பிரதிப்	piradhip	pira dhi p
பிரதேச	piradheesa	pira dheesa
பிரதேசங்களிலுள்ள	piradheesangalilulla	pira dheesa<n> gal il ulla
பிரதேசங்களில்	piradheesangalil	pira dheesa<n> gal il
பிரதேசங்களைச்	piradheesangalaich	pira dheesa<n> gal ai ch
பிரதேசங்கள்	piradheesangal	pira dheesa<n> gal
பிரதேசத்தில்	piradheesaththil	pira dheesa thth il
பிரதேசத்தின்	piradheesaththin	pira dheesa thth in
பிரதேசம்	piradheesam	pira dheesa m
பிரவேசித்து	piraveesiththu	pira veesi ththu
பிரிந்து	pirindhu	piri ndhu
பிரிவினர்	pirivinar	piri vinar
பிரிவின்	pirivin	piri vin
பிரிவு	pirivu	piri vu
பிரிவும்	pirivum	piri vum
பிறகு	pirahu	pira hu
பிறகே	pirahee	pira hee
பிறை	pirai	pirai
பிறைக்	piraik	pirai k
பிற்பகல்	pirpahal	pir pahal
பின்	pin	pin
பின்னணியில்	pinnaniyil	pin nan iyil
பின்னரும்	pinnarum	pinn arum
பின்னர்	pinnar	pinn ar
பீதி	piidhi	piidhi
பீதியில்	piidhiyil	piidhi yil
புதன்	pudhan	pudhan
புதன்கிழமை	pudhangizamai	pudhan giza mai
புதிதாக	pudhidhaaha	pudhi dhaaha
புதிய	pudhiya	pudhi ya
புதுசு	pudhusu	pudhu su
புதைந்து	pudhaindhu	pudhai ndhu
புதையுண்டு	pudhaiyuntu	pudhai yuntu
புயலாக	puyalaaha	puyal aaha
புயலில்	puyalil	puyal il
புயலினால்	puyalinaal	puyal in aal
புயலின்	puyalin	puyal in
புயலுக்கு	puyalukku	puyal ukku
புயல்	puyal	puyal
புவியியல்	puviyiyal	puvi yiyal
புள்ளி	pulli	pulli
புறம்	puram	puram
பூகம்பம்	puuhambam	puu ham bam
பூமியின்	puumiyin	puu mi yin
பெண்	pen	pen
பெண்களை	penkalai	pen kal ai
பெண்கள்	penkal	pen kal
பெண்ணை	pennai	pen nai
பெயரிடப்பட்டது	peyaridappattadhu	peyar ida ppatta dhu
பெயர்	peyar	peyar
பெய்த	peytha	pey tha
பெய்துவரும்	peythuvarum	pey thu varum
பெய்துள்ளது	peythulladhu	pey thull adhu
பெய்யத்	peyyath	peyya th
பெய்யும்	peyyum	peyyu m
பெரிதும்	peridhum	peridhu m
பெரிய	periya	periya
பெரு	peru	peru
பெருக்கு	perukku	peru kku
பெருங்கடலில்	perungadalil	peru<n> gadal il
பெருங்கடலின்	perungadalin	peru<n> gadal in
பெருந்தோட்டத்	perundhoottath	perun dhoott ath
பெரும்	perum	perum
பெரும்பாலான	perumbaalaana	perum baala ana
பெற	pera	pera
பெறுகிறீர்கள்	peruhiriirkal	peru hiriir kal
பெறும்	perum	peru m
பெற்ற	petra	petra
பெற்றுக்	petruk	petru k
பேசி	peesi	peesi
பேசிய	peesiya	peesi ya
பேசுகையில்	peesuhaiyil	peesu hai yil
பேச்சாளர்	peechchaalar	peechch aalar
பேச்சுவார்த்தை	peechchuvaarththai	peechchu vaar ththai
பேச்சுவார்த்தையில்	peechchuvaarththaiyil	peechchu vaar ththai yil
பேரலை	peeralai	peer alai
பேரின்	peerin	peer in
பேருந்து	peerundhu	peer undhu
பேரும்	peerum	peer um
பேரை	peerai	peer ai
பேர்	peer	peer
பையன்	paiyan	pai yan
பொதுமக்களையும்	podhumakkalaiyum	podhu makkal ai yum
பொதுமக்கள்	podhumakkal	podhu makkal
பொய்யான	poyyaana	poyy aana
பொருட்	porut	porut
பொருட்களை	porutkalai	porut kal ai
பொருட்கள்	porutkal	porut kal
பொருட்டு	poruttu	porutt u
பொருளாதார	porulaadhaara	porul aadhaara
பொருளாதாரப்	porulaadhaarap	porul aadhaara p
பொருளாதாரம்	porulaadhaaram	porul aadhaara m
பொருள்	porul	porul
பொலிஸாரும்	polisaarum	poli saa rum
பொழுது	pozudhu	poz udhu
பொள்ளாச்சி	pollaachchi	poll aachchi
பொறுப்பதிகாரி	poruppadhihaari	porupp adhi haari
பொறுப்பு	poruppu	porupp u
பொறுப்பை	poruppai	porupp ai
போக	pooha	poo ha
போக்குவரத்து	pookkuvaraththu	poo kku vara ththu
போக்கை	pookkai	poo kkai
போட்டது	poottadhu	poott adhu
போட்டோக்களை	poottookkalai	poott oo kka lai
போதும்	poodhum	poo dhum
போதைப்	poodhaip	poo dhai p
போயுள்ளார்	pooyullaar	pooy ullaar
போய்	pooy	pooy
போய்விட்டது	pooyvittadhu	pooy vitt adhu
போராடி	pooraadi	poor aadi
போராட்டத்துக்கு	pooraattaththukku	poor aatta thth ukku
போர்	poor	poor
போர்க்கால	poorkkaala	poor kkaala
போல	poola	poola
போலவோ	poolavoo	poola voo
போலீஸார்	pooliisaar	pooliis aar
போலீஸ்	pooliis	pooliis
போனது	poonadhu	poona dhu
போனாள்	poonaal	poon aal
போன்ற	poonra	poon ra
போன்றவற்றில்	poonravatril	poon ra vatr il
போன்றவையும்	poonravaiyum	poon ra vai yum
மக்களுக்காக	makkalukkaaha	makkal ukka aha
மக்களுக்கான	makkalukkaana	makkal ukka ana
மக்களுக்கு	makkalukku	makkal ukku
மக்களும்	makkalum	makkal um
மக்களை	makkalai	makkal ai
மக்களைப்	makkalaip	makkal ai p
மடங்கு	madangu	madangu
மட்ட	matta	matta
மட்டத்தில்	mattaththil	matta ththil
மட்டும்	mattum	matt um
மணி	mani	mani
மணிக்கு	manikku	mani kku
மணிக்கும்	manikkum	mani kkum
மணிநேரம்	manineeram	mani neeram
மண்	man	man
மண்சரிவால்	mancharivaal	man chariv aal
மண்சரிவினால்	mancharivinaal	man charivi naal
மண்சரிவு	mancharivu	man charivu
மண்டலத்தில்	mantalaththil	man tala ththil
மண்டலமாக	mantalamaaha	man tala maaha
மண்டை	mantai	man tai
மண்ணில்	mannil	mann il
மத	madha	madha
மதிப்பிலான	madhippilaana	madhi ppil aana
மதிப்பீடு	madhippiidu	madhi pp iidu
மதிப்பீட்டில்	madhippiittil	madhi ppiitt il
மதியம்	madhiyam	madhi yam
மதுவிலக்கை	madhuvilakkai	madhu vila kkai
மதுவுக்கு	madhuvukku	madhu vu kku
மத்திய	maththiya	maththi ya
மத்தியில்	maththiyil	maththi yil
மந்தரில்	mandharil	mandhar il
மரங்கள்	marangal	mara<n> gal
மரண	marana	marana
மரணங்கள்	maranangal	marana<n> gal
மரணம்	maranam	marana m
மருத்துவ	maruththuva	maruththuva
மருத்துவமனை	maruththuvamanai	maruththuva manai
மருத்துவமனைக்கு	maruththuvamanaikku	maruththuva manai kku
மருத்துவமனையில்	maruththuvamanaiyil	maruththuva manai yil
மருத்துவர்	maruththuvar	maruththu var
மருத்துவர்கள்	maruththuvarkal	maruththu var kal
மருந்துப்	marundhup	marundh u p
மருந்தை	marundhai	marundh ai
மலை	malai	malai
மலைகளின்	malaihalin	malai hal in
மலைக்காற்றில்	malaikkaatril	malai kkaatr il
மலையக	malaiyaha	malai yaha
மலையகத்தில்	malaiyahaththil	malai yaha thth il
மலையகப்	malaiyahap	malai yaha p
மலையின்	malaiyin	malai yin
மலையே	malaiyee	malai yee
மழை	mazai	mazai
மழைக்கு	mazaikku	mazai kku
மழையால்	mazaiyaal	mazai yaal
மழையிலும்	mazaiyilum	mazai yil um
மழையினால்	mazaiyinaal	mazai yi naal
மழையின்	mazaiyin	mazai yin
மழையுடன்	mazaiyudan	mazai yudan
மழையை	mazaiyai	mazai yai
மற்ற	matra	matra
மற்றுமொரு	matrumoru	matrum oru
மற்றும்	matrum	matrum
மனிதன்	manidhan	mani dhan
மன்மோகன்சிங்	manmoohanjin	man moo han ji<n>
மஸ்கட்	maskat	maskat
மாகாணங்களில்	maahaanangalil	maahaana<n> gal il
மாகாணங்களின்	maahaanangalin	maahaana<n> gal in
மாகாணத்தில்	maahaanaththil	maahaana ththil
மாகாணத்தின்	maahaanaththin	maahaana ththin
மாணவர்களின்	maanavarkalin	maanavar kal in
மாணவர்கள்	maanavarkal	maanavar kal
மாத	maadha	maa dha
மாதங்களில்	maadhangalil	maa dha<n> gal il
மாதங்களுக்கு	maadhangalukku	maa dha<n> gal ukku
மாதம்	maadham	maa dham
மாதிரி	maadhiri	maa dhiri
மாத்தறை	maaththarai	maa thth arai
மாத்திரம்	maaththiram	maa ththi ram
மாத்திரை	maaththirai	maa ththi rai
மாநில	maanila	maa nila
மாநிலங்களில்	maanilangalil	maa nila<n> gal il
மாநிலத்தின்	maanilaththin	maa nila ththin
மாநிலம்	maanilam	maa nilam
மாயம்	maayam	maa yam
மாலை	maalai	maa lai
மாலைதீவுகளின்	maalaidhiivuhalin	maa lai dhiivu hal in
மாவட்ட	maavatta	maa vatta
மாவட்டங்களிலும்	maavattangalilum	maa vatta<n> gal il um
மாவட்டங்களிலுள்ள	maavattangalilulla	maa vatta<n> gal il ulla
மாவட்டங்களிலேயே	maavattangalileeyee	maa vatta<n> gal il eeyee
மாவட்டங்களில்	maavattangalil	maa vatta<n> gal il
மாவட்டங்கள்	maavattangal	maa vatta<n> gal
மாவட்டத்தில்	maavattaththil	maa vatta ththil
மாவட்டத்தின்	maavattaththin	maa vatta ththin
மாவட்டம்	maavattam	maa vattam
மாறாக	maaraaha	maa raaha
மாறியதால்	maariyadhaal	maari ya dhaal
மாறியது	maariyadhu	maari ya dhu
மாறுபாட்டை	maarubaattai	maaru baatt ai
மாற்றப்பட்டு	maatrappattu	maatra ppattu
மாற்றப்பட்டுள்ளது	maatrappattulladhu	maatra ppattu lladhu
மாற்றமே	maatramee	maatra mee
மாற்றம்	maatram	maatra m
மாற்று	maatru	maatru
மிக	miha	miha
மிகப்	mihap	miha p
மிகப்பெரிய	mihapperiya	miha ppe riya
மிகப்பெரும்	mihapperum	miha ppe rum
மிகவும்	mihavum	miha vum
மிகுந்த	mihundha	mihu ndha
மிக்க	mikka	mikka
மிதமான	midhamaana	midha maana
மியான்மர்	miyaanmar	mi yaa nmar
மிரட்டும்	mirattum	mira ttum
மின்சார	minjaara	min jaara
மின்சாரம்	minjaaram	min jaaram
மீட்க	miitka	miitka
மீட்கப்பட்டது	miitkappattadhu	miitka ppatt adhu
மீட்கப்பட்டனர்	miitkappattanar	miitka ppatta nar
மீட்கப்பட்டு	miitkappattu	miitka ppattu
மீட்கப்பட்டுள்ளனர்	miitkappattullanar	miitka ppatt ulla nar
மீட்டர்	miittar	miitta r
மீட்டனர்	miittanar	miitt an ar
மீட்டு	miittu	miittu
மீட்பு	miitpu	miitpu
மீட்புதவி	miitpudhavi	miitpu dhavi
மீட்புப்	miitpup	miitpu p
மீட்புப்படையினர்	miitpuppadaiyinar	miitpu ppadai yinar
மீட்புப்பணி	miitpuppani	miitpu ppani
மீண்டும்	miintum	miin tum
மீதான	miidhaana	miidh aana
மீது	miidhu	miidh u
மீற்றர்	miitrar	miit rar
மீனவர்கள்	miinavarkal	miina var kal
முகமூடி	muhamuudi	muha muudi
முகம்	muham	muha m 
முகாமைத்துவ	muhaamaiththuva	muhaa mai ththu va
முகாம்களில்	muhaamgalil	muhaa m gal il
முக்கிய	mukkiya	mukkiya
முக்கியத்துவம்	mukkiyaththuvam	mukkiya ththuvam
முச்சக்கரவண்டி	muchchakkaravanti	muchcha kkara vanti
முடிந்த	mudindha	mudindha
முடியாததால்	mudiyaadhadhaal	mudiyaadh adhaal
முடியாது	mudiyaadhu	mudiyaadh u
முதலமைச்சர்	mudhalamaichchar	mudhal amaichch ar
முதலிய	mudhaliya	mudhal iya
முதலில்	mudhalil	mudhal il
முதலே	mudhalee	mudhal ee
முதல்	mudhal	mudhal
முப்படையினரும்	muppadaiyinarum	muppa dai yinar um
மும்பைக்கு	mumbaikku	mumbai kku
முயற்சி	muyarchi	muyarchi
முயற்சித்து	muyarchiththu	muyarchi ththu
முயற்சியில்	muyarchiyil	muyarchi yil
முல்லைத்தீவு	mullaiththiivu	mullai ththii vu
முல்லைப்பெரியாறு	mullaipperiyaaru	mullai pperiy aaru
முழங்கால்	muzangaal	muza<n> gaal
முழு	muzu	muzu
முழுவதும்	muzuvadhum	muzu vadhum
முழுவீச்சில்	muzuviichchil	muzu viichch il
முறை	murai	murai
முறைகள்	muraihal	murai hal
முறைப்பாடு	muraippaadu	murai ppaadu
முறையற்ற	muraiyatra	murai yatra
முறையாக	muraiyaaha	murai yaaha
முறையான	muraiyaana	murai yaana
முற்றாக	mutraaha	mutr aaha
முற்றிலும்	mutrilum	mutr ilum
முன்	mun	mun
முன்கூட்டியே	munguuttiyee	mun guutti yee
முன்தினம்	mundhinam	mun dhinam
முன்பே	munbee	mun bee
முன்னணியில்	munnaniyil	munn ani yil
முன்னதாக	munnadhaaha	munn adha aha
முன்னர்	munnar	munn ar
முன்னுரிமை	munnurimai	munn urimai
முன்னெச்சரிக்கையை	munnechcharikkaiyai	munn ech chari kkai yai
முன்னேற்றப்	munneetrap	munn eetra p
முன்னேற்றம்	munneetram	munn eet ram
மூட	muuda	muuda
மூடப்பட்டது	muudappattadhu	muuda ppatt adhu
மூடப்பட்டன	muudappattana	muuda ppatt ana
மூத்த	muuththa	muu ththa
மூலமாக	muulamaaha	muu lam aaha
மூலம்	muulam	muul am
மூழ்கி	muuzhki	muuzhki
மூழ்கியுள்ளன	muuzhkiyullana	muuzhki yull ana
மூழ்கிவிட்டன	muuzhkivittana	muuzhki vitt ana
மூன்றாம்	muunraam	muun raam
மூன்று	muunru	muun ru
மெக்கா	mekkaa	mekkaa
மேலாக	meelaaha	meel aaha
மேலாண்மை	meelaanmai	meel aan mai
மேலும்	meelum	meel um
மேற்கொண்ட	meerkonta	meer konta
மேற்கொண்டது	meerkontadhu	meer kont adhu
மேற்கொண்டு	meerkontu	meer kontu
மேற்கொள்ள	meerkolla	meer kolla
மேற்கொள்ளப்பட்டன	meerkollappattana	meer kolla ppatt ana
மைய	maiya	maiya
மையம்	maiyam	maiya m
மொத்தமாக	moththamaaha	moththa maaha
மோசமாக	moosamaaha	moosa maaha
மோசமான	moosamaana	moosa maana
மோடி	moodi	moodi
மோடிக்கு	moodikku	moodi kku
மோதல்	moodhal	moodh al
மோதி	moodhi	moodh i
யாரும்	yaarum	yaar um
யார்	yaar	yaar
யானைகளை	yaanaihalai	yaanai hal ai
யானைகள்	yaanaihal	yaanai hal
யூனியனும்	yuuniyanum	yuuniyan um
ரத்து	raththu	raththu
ரயில்	rayil	rayil
ராணுவ	raanuva	raanuva
ராணுவத்தினர்	raanuvaththinar	raanuva ththi nar
ராணுவமும்	raanuvamum	raanuva mum
ரூபாய்	ruubaay	ruu baay
ரோட்டைக்	roottaik	roottai k
ரோம்	room	room
லட்சத்து	latchaththu	latcha ththu
லட்சத்துக்கும்	latchaththukkum	latcha ththu kkum
லட்சம்	latcham	latcha m
லயன்களின்	layangalin	layan gal in
வகுப்பறைகளை	vahupparaihalai	vahupp arai hal ai
வகுப்பறையில்	vahupparaiyil	vahupp arai yil
வகை	vahai	vahai
வகையான	vahaiyaana	vahai yaa na
வகையில்	vahaiyil	vahai yil
வங்க	vanga	vanga
வங்காள	vangaala	vangaa la
வங்காளதேசத்தில்	vangaaladheesaththil	vangaa la dheesa thth il
வங்கிகளில்	vangihalil	vangi hal il
வங்கிக்	vangik	vangi k
வசதிகள்	vasadhihal	vasa dhi hal
வசந்தம்	vasandham	vasa ndham
வசிக்கும்	vasikkum	vasi kkum
வட	vada	vada
வடகிழக்குப்	vadahizakkup	vada hizakku p
வடமேற்கு	vadameerku	vada meerku
வடிவ	vadiva	vadiva
வட்டத்தில்	vattaththil	vatta ththil
வட்டாரத்தில்	vattaaraththil	vatta ara thth il
வந்த	vandha	vand ha
வந்தடைந்த	vandhadaindha	vand ha da indha
வந்தது	vandhadhu	vand ha dhu
வந்தன	vandhana	vand ha na
வந்தாலென்ன	vandhaalenna	vand haa lenna
வந்து	vandhu	vand hu
வந்துள்ளன	vandhullana	vand hu llana
வயதிற்கு	vayadhirku	vayadh irku
வர	vara	vara
வரலாறு	varalaaru	vara laaru
வரவேண்டும்	varaveentum	vara veen tum
வரித்துறையில்	variththuraiyil	vari ththu rai yil
வருகிறது	varuhiradhu	varu hira dhu
வருகின்றனர்	varuhinranar	varu hinra nar
வருகை	varuhai	varu hai
வருடங்கள்	varudangal	varu da<n> gal
வருடத்திற்கு	varudaththirku	varu da ththi rku
வருடம்	varudam	varu da m
வருதாம்	varudhaam	varu dhaa m
வருவதாக	varuvadhaaha	varu va dhaaha
வருவதால்	varuvadhaal	varu va dhaal
வருவது	varuvadhu	varu va dhu
வருவார்கள்	varuvaarkal	varu vaar kal
வரை	varai	varai
வரைக்கும்	varaikkum	varai kkum
வரையான	varaiyaana	varai yaana
வர்ணம்	varnam	var nam
வலி	vali	vali
வலிமையை	valimaiyai	vali mai yai
வலியுறுத்தி	valiyuruththi	vali yuru ththi
வலுப்படுத்துவது	valuppaduththuvadhu	valu ppadu ththu vadhu
வலுப்பெற்று	valuppetru	valu ppetru
வலுவடைந்து	valuvadaindhu	valu vada indhu
வலுவிழந்து	valuvizandhu	valu viza ndhu
வவுனியாவில்	vavuniyaavil	vavuni yaav il
வழக்கமாக	vazakkamaaha	vaza kkam aaha
வழக்கமான	vazakkamaana	vaza kkam aana
வழக்கறிஞர்	vazakkarinyar	vaza kkar iny ar
வழக்கு	vazakku	vaza kku
வழக்கை	vazakkai	vaza kkai
வழங்க	vazanga	vaza nga
வழங்கப்படும்	vazangappadum	vaza nga ppad um
வழங்கப்பட்டது	vazangappattadhu	vaza nga ppatt adhu
வழங்கவும்	vazangavum	vaza nga vum
வழங்குமாறு	vazangumaaru	vaza ngu maaru
வழங்குவதற்கு	vazanguvadharku	vaza ngu vadha rku
வழங்குவதைத்	vazanguvadhaith	vaza ngu vadhai th
வழியாக	vaziyaaha	vazi yaaha
வழியில்	vaziyil	vazi yil
வளர்ச்சி	valarchchi	valar chchi
வளர்ச்சிக்கும்	valarchchikkum	valar chchi kkum
வளர்ச்சியில்	valarchchiyil	valar chchi yil
வளைந்து	valaindhu	valai ndhu
வறட்சி	varatchi	varat chi
வறட்சியை	varatchiyai	varat chi yai
வறண்ட	varanta	varan ta
வனச்சரகர்	vanachcharahar	vana chcha rah ar
வனத்துறையினர்	vanaththuraiyinar	vana thth urai yin ar
வனப்பகுதிக்கு	vanappahudhikku	vana ppah udhi kku
வனப்பகுதியில்	vanappahudhiyil	vana ppah udhi yil
வன்னி	vanni	vanni
வாகன	vaahana	vaa hana
வாகனங்கள்	vaahanangal	vaa hana<n> gal
வாகனத்தில்	vaahanaththil	vaa hana ththil
வாகனப்	vaahanap	vaa hana p
வாகனம்	vaahanam	vaa hana m
வாங்கி	vaangi	vaa ngi
வாசி	vaasi	vaa si
வாசிக்க	vaasikka	vaa si kka
வாந்தி	vaandhi	vaan dhi
வாய்ப்பில்லை	vaayppillai	vaaypp illai
