token	transliteration-1	transliteration-2	segmentation_trans1	segmentation_trans2	root_trans1	root_trans2
तलवार	talvaar	talvaar	talvaar	talvaar	talvaar	talvaar
तलाश	talaash	talaash	talaash	talaash	talaash	talaash
तले	tale	tale	tal e	tal e	tal	tal
तल्ख	talkh	talkh	talkh	talkh	talkh	talkh
तस्वीर	tasviir	tasviir	tasviir	tasviir	tasviir	tasviir
तस्वीरें	tasviireng	tasviireng	tasviir eng	tasviir eng	tasviir	tasviir
तहत	tahat	tahat	tahat	tahat	tahat	tahat
ताक	taak	taak	taak	taak	taak	taak
ताकत	taakat	taakat	taak at	taak at	taak	taak
ताकतवर	taakatavar	taakatavar	taak ata var	taak ata var	taak	taak
ताकि	taaki	taaki	taaki	taaki	taaki	taaki
ताजा	taajaa	taajaa	taaj aa	taaj aa	taaj	taaj
ताज़ा	taazaa	taazaa	taaz aa	taaz aa	taaz	taaz
ताज्जुब	taajjub	taajjub	taajjub	taajjub	taajjub	taajjub
तानाशाही	taanaashaahii	taanaashaahii	taanaa shaah ii	taanaa shaah ii	shaah	shaah
तापमान	taapmaan	taapmaan	taapmaan	taapmaan	taapmaan	taapmaan
तिरपाल	tirpaal	tirpaal	tirpaal	tirpaal	tirpaal	tirpaal
तिहाड़	tihaar	tihaar	tihaar	tihaar	tihaar	tihaar
तीन	tiin	tiin	tiin	tiin	tiin	tiin
तीनों	tiinong	tiinong	tiin ong	tiin ong	tiin	tiin
तीर्थयात्री	tiirthayaatrii	tiirthayaatrii	tiirtha yaatr ii	tiirtha yaatr ii	yaatr	yaatr
तीव्र	tiivr	tiivr	tiivr	tiivr	tiivr	tiivr
तीव्रता	tiivrataa	tiivrataa	tiivrataa	tiivrataa	tiivrataa	tiivrataa
तीस	tiis	tiis	tiis	tiis	tiis	tiis
तीसरी	tiisrii	tiisrii	tiisr ii	tiisr ii	tiisr	tiisr
तुमने	tumne	tumne	tum ne	tum ne	tume	tume
तुम्हारा	tumhaaraa	tumhaaraa	tumhaar aa	tumhaar aa	tumhaar	tumhaar
तुरंत	turant	turant	turant	turant	turant	turant
तुलना	tulnaa	tulnaa	tul n aa	tul n aa	tul	tul
तुले	tule	tule	tul e	tul e	tul	tul
तू	tuu	tuu	tuu	tuu	tuu	tuu
तूफानों	tuuphaanong	tuuphaanong	tuuphaan ong	tuuphaan ong	tuuphaan	tuuphaan
तेज	tej	tej	tej	tej	tej	tej
तेजी	tejii	tejii	tej ii	tej ii	tej	tej
तेरा	teraa	teraa	ter aa	ter aa	ter	ter
तैनात	tainaat	tainaat	tainaat	tainaat	tainaat	tainaat
तैनाती	tainaatii	tainaatii	tainaat ii	tainaat ii	tainaat	tainaat
तैयार	taiyaar	taiyaar	taiyaar	taiyaar	taiyaar	taiyaar
तैयारी	taiyaarii	taiyaarii	taiyaar ii	taiyaar ii	taiyaar	taiyaar
तो	to	to	to	to	to	to
तोड़	tor	tor	t<o><r>	t<o><r>	t<o><r>	t<o><r>
तोड़कर	torkar	torkar	t<o><r> kar	t<o><r> kar	t<o><r>	t<o><r>
तोड़ने	torne	torne	t<o><r> n e	t<o><r> n e	t<o><r>	t<o><r>
तोड़फोड़	torphor	torphor	t<o><r> phor	t<o><r> phor	phor	phor
तोड़े	tore	tore	t<o><r> e	t<o><r> e	t<o><r>	t<o><r>
तौर	taur	taur	taur	taur	taur	taur
थपेड़ों	thaperong	thaperong	thaper ong	thaper ong	thaper	thaper
था	thaa	thaa	th aa	th aa	th	th
थाई	thaaii	thaaii	thaaii	thaaii	thaaii	thaaii
थाना	thaanaa	thaanaa	thaan aa	thaan aa	thaan	thaan
थी	thii	thii	th ii	th ii	th	th
थे	the	the	th e	th e	th	th
थोड़ी	thorii	thorii	thor ii	thor ii	thor	thor
थोड़ी	thorii	thorii	thor ii	thor ii	thor	thor
थोड़े	thore	thore	thor e	thor e	thor	thor
दक्षिण	dakshin	dakshin	dakshin	dakshin	dakshin	dakshin
दक्षिणपूर्वी	dakshinapuurvii	dakshinapuurvii	dakshina puurv ii	dakshina puurv ii	puurv	puurv
दक्षिणी	dakshinii	dakshinii	dakshin ii	dakshin ii	dakshin	dakshin
दंगे	dange	dange	dang e	dang e	dang	dang
दंगों	dangong	dangong	dang ong	dang ong	dang	dang
दब	dab	dab	dab	dab	dab	dab
दबाव	dabaav	dabaav	dab aav	dab aav	dab	dab
दबे	dabe	dabe	dab e	dab e	dab	dab
दर	dar	dar	dar	dar	dar	dar
दरार	daraar	daraar	daraar	daraar	daraar	daraar
दर्ज	darj	darj	darj	darj	darj	darj
दर्जन	darjan	darjan	darjan	darjan	darjan	darjan
दर्जनों	darjanong	darjanong	darjan ong	darjan ong	darjan	darjan
दर्द	dard	dard	dard	dard	dard	dard
दल	dal	dal	dal	dal	dal	dal
दलों	dalong	dalong	dal ong	dal ong	dal	dal
दवा	davaa	davaa	davaa	davaa	davaa	davaa
दाखिल	daakhil	daakhil	daakhil	daakhil	daakhil	daakhil
दागा	daagaa	daagaa	daag aa	daag aa	daag	daag
दायरे	daayre	daayre	daayr e	daayr e	daayr	daayr
दाल	daal	daal	daal	daal	daal	daal
दांव	daanv	daanv	daanv	daanv	daanv	daanv
दिए	die	die	d<i> e	d<i> e	d<i>	d<i>
दिख	dikh	dikh	dikh	dikh	dikh	dikh
दिखा	dikhaa	dikhaa	dikh aa	dikh aa	dikh	dikh
दिखाई	dikhaaii	dikhaaii	dikh aa ii	dikh aa ii	dikh	dikh
दिखाएगा	dikhaaegaa	dikhaaegaa	dikh aa e g aa	dikh aa e g aa	dikh	dikh
दिखाकर	dikhaakar	dikhaakar	dikh aa kar	dikh aa kar	dikh	dikh
दिन	din	din	din	din	din	din
दिनों	dinong	dinong	din ong	din ong	din	din
दिया	diyaa	diyaa	d<i> yaa	d<i> yaa	d<i>	d<i>
दिलाने	dilaane	dilaane	d<i> laa n e	d<i> laa n e	d<i>	d<i>
दिलो	dilo	dilo	dil o	dil o	dil	dil
दिवसीय	divsiiy	divsiiy	divs iiy	divs iiy	divs	divs
दिशा	dishaa	dishaa	dishaa	dishaa	dishaa	dishaa
दी	dii	dii	d ii	d ii	d	d
दीवारों	diivaarong	diivaarong	diivaar ong	diivaar ong	diivaar	diivaar
दुखद	dukhad	dukhad	dukhad	dukhad	dukhad	dukhad
दुनिया	duniyaa	duniyaa	duniy aa	duniy aa	duniy	duniy
दुर्घटना	durghatanaa	durghatanaa	dur ghatanaa	dur ghatanaa	ghatanaa	ghatanaa
दुर्घटनाओं	durghatanaaong	durghatanaaong	dur ghatanaa ong	dur ghatanaa ong	ghatanaa	ghatanaa
दुर्दशा	durdashaa	durdashaa	dur dashaa	dur dashaa	dashaa	dashaa
दुश्मन	dushman	dushman	dushman	dushman	dushman	dushman
दूर	duur	duur	duur	duur	duur	duur
दूरभाष	duurbhaash	duurbhaash	duur bhaash	duur bhaash	bhaash	bhaash
दूरी	duurii	duurii	duur ii	duur ii	duur	duur
दूसरा	duusraa	duusraa	duusr aa	duusr aa	duusr	duusr
दूसरी	duusrii	duusrii	duusr ii	duusr ii	duusr	duusr
दूसरे	duusre	duusre	duusr e	duusr e	duusr	duusr
दृष्टिकोण	drishtikon	drishtikon	drishti kon	drishti kon	kon	kon
दे	de	de	de	de	de	de
दें	deng	deng	de ng	de ng	de	de
देकर	dekar	dekar	de kar	de kar	de	de
देखकर	dekhkar	dekhkar	dekh kar	dekh kar	dekh	dekh
देखता	dekhtaa	dekhtaa	dekh t aa	dekh t aa	dekh	dekh
देखते	dekhte	dekhte	dekh t e	dekh t e	dekh	dekh
देखा	dekhaa	dekhaa	dekh aa	dekh aa	dekh	dekh
देखें	dekheng	dekheng	dekh e ng	dekh e ng	dekh	dekh
देगा	degaa	degaa	de g aa	de g aa	de	de
देगी	degii	degii	de g ii	de g ii	de	de
देता	detaa	detaa	de t aa	de t aa	de	de
देती	detii	detii	de t ii	de t ii	de	de
देते	dete	dete	de t e	de t e	de	de
देना	denaa	denaa	de n aa	de n aa	de	de
देने	dene	dene	de n e	de n e	de	de
देर	der	der	der	der	der	der
देरी	derii	derii	der ii	der ii	der	der
देवताओं	devataaong	devataaong	devataa ong	devataa ong	devataa	devataa
देश	desh	desh	desh	desh	desh	desh
देशम	desham	desham	desham	desham	desham	desham
देशों	deshong	deshong	desh ong	desh ong	desh	desh
दो	do	do	do	do	do	do
दोनों	donong	donong	do nong	do nong	do	do
दोपहर	dophar	dophar	do phar	do phar	phar	phar
दोपहरी	dopaharii	dopaharii	do pahar ii	do pahar ii	pahar	pahar
दोष	dosh	dosh	dosh	dosh	dosh	dosh
दौड़ती	daurtii	daurtii	daur t ii	daur t ii	daur	daur
दौर	daur	daur	daur	daur	daur	daur
दौरा	dauraa	dauraa	daur aa	daur aa	daur	daur
दौरान	dauraan	dauraan	dauraan	dauraan	dauraan	dauraan
द्रोही	drohii	drohii	droh ii	droh ii	droh	droh
द्वार	dvaar	dvaar	dvaar	dvaar	dvaar	dvaar
द्वारा	dvaaraa	dvaaraa	dvaar aa	dvaar aa	dvaar	dvaar
द्वीप	dviip	dviip	dviip	dviip	dviip	dviip
धन	dhan	dhan	dhan	dhan	dhan	dhan
धमाका	dhamaakaa	dhamaakaa	dhamaak aa	dhamaak aa	dhamaak	dhamaak
धमाके	dhamaake	dhamaake	dhamaak e	dhamaak e	dhamaak	dhamaak
धरती	dhartii	dhartii	dhart ii	dhart ii	dhart	dhart
धर्म	dharm	dharm	dharm	dharm	dharm	dharm
धंस	dhans	dhans	dhans	dhans	dhans	dhans
धार्मिक	dhaarmik	dhaarmik	dhaarm ik	dhaarm ik	dhaarm	dhaarm
धुंआ	dhunaa	dhunaa	dhun aa	dhun aa	dhun	dhun
धूप	dhuup	dhuup	dhuup	dhuup	dhuup	dhuup
धोने	dhone	dhone	dho n e	dho n e	dho	dho
ध्यान	dhyaan	dhyaan	dhyaan	dhyaan	dhyaan	dhyaan
ध्वस्त	dhvast	dhvast	dhvast	dhvast	dhvast	dhvast
न	na	na	na	na	na	na
नई	nii	nii	n ii	n ii	n	n
नए	ne	ne	n e	n e	n	n
नक्सलियों	naksaliyong	naksaliyong	naksal iy ong	naksal iy ong	naksal	naksal
नक्सली	naksalii	naksalii	naksal ii	naksal ii	naksal	naksal
नगर	nagar	nagar	nagar	nagar	nagar	nagar
नजदीकी	najadiikii	najadiikii	najadiik ii	najadiik ii	najadiik	najadiik
नजर	najar	najar	najar	najar	najar	najar
नज़रबंदी	nazrabandii	nazrabandii	nazra band ii	nazra band ii	band	band
नतीजे	natiije	natiije	natiij e	natiij e	natiij	natiij
नदी	nadii	nadii	nad ii	nad ii	nad	nad
नमी	namii	namii	nam ii	nam ii	nam	nam
नमूने	namuune	namuune	namuun e	namuun e	namuun	namuun
नम्रता	namrataa	namrataa	namrataa	namrataa	namrataa	namrataa
नया	nayaa	nayaa	na yaa	na yaa	na	na
नये	naye	naye	na ye	na ye	na	na
नर्सों	narsong	narsong	nars ong	nars ong	nars	nars
नवजात	navjaat	navjaat	nav jaat	nav jaat	jaat	jaat
नवाज़	navaaz	navaaz	navaaz	navaaz	navaaz	navaaz
नष्ट	nasht	nasht	nasht	nasht	nasht	nasht
नहीं	nahiing	nahiing	na hiing	na hiing	na	na
ना	naa	naa	naa	naa	naa	naa
नागरिक	naagrik	naagrik	naagr ik	naagr ik	naagr	naagr
नागरिकों	naagarikong	naagarikong	naagar ik ong	naagar ik ong	naagar	naagar
नाता	naataa	naataa	naat aa	naat aa	naat	naat
नाम	naam	naam	naam	naam	naam	naam
नामोनिशान	naamonishaan	naamonishaan	naam o nishaan	naam o nishaan	nishaan	nishaan
नालायक	naalaayak	naalaayak	naa laayak	naa laayak	laayak	laayak
नाव	naav	naav	naav	naav	naav	naav
नाही	naahii	naahii	naa hii	naa hii	naa	naa
निकट	nikat	nikat	ni kat	ni kat	kat	kat
निकम्मी	nikammii	nikammii	nikamm ii	nikamm ii	nikamm	nikamm
निकलते	nikalate	nikalate	nikala t e	nikala t e	nikal	nikal
निकला	niklaa	niklaa	nikl aa	nikl aa	nikl	nikl
निकले	nikle	nikle	nikl e	nikl e	nikl	nikl
निकाल	nikaal	nikaal	nikaal	nikaal	nikaal	nikaal
निकालकर	nikaalakar	nikaalakar	nikaala kar	nikaala kar	nikaala	nikaala
निकालने	nikaalane	nikaalane	nikaala n e	nikaala n e	nikaala	nikaala
निकाला	nikaalaa	nikaalaa	nikaal aa	nikaal aa	nikaal	nikaal
निगम	nigam	nigam	ni gam	ni gam	gam	gam
निचले	nichhle	nichle	nichhl e	nichl e	nichhl	nichl
निजात	nijaat	nijaat	ni jaat	ni jaat	jaat	jaat
निंदा	nindaa	nindaa	nind aa	nind aa	nind	nind
निपटने	nipatane	nipatane	nipata n e	nipata n e	nipata	nipata
निमार्णाधीन	nimaarnaadhiin	nimaarnaadhiin	ni maarnaadh iin	ni maarnaadh iin	maarnaadh	maarnaadh
निम्न	nimn	nimn	nimn	nimn	nimn	nimn
निर्बल	nirbal	nirbal	nir bal	nir bal	bal	bal
निवास	nivaas	nivaas	ni vaas	ni vaas	vaas	vaas
निवासियों	nivaasiyong	nivaasiyong	ni vaas iy ong	ni vaas iy ong	vaas	vaas
निवासी	nivaasii	nivaasii	ni vaas ii	ni vaas ii	vaas	vaas
निशाना	nishaanaa	nishaanaa	nishaan aa	nishaan aa	nishaan	nishaan
निश्चय	nishchhay	nishchay	nish chhay	nish chay	chhay	chay
नीचे	niichhe	niiche	niichh e	niich e	niichh	niich
नुकसान	nuksaan	nuksaan	nuksaan	nuksaan	nuksaan	nuksaan
नुक्सान	nuksaan	nuksaan	nuksaan	nuksaan	nuksaan	nuksaan
ने	ne	ne	ne	ne	ne	ne
नेताओं	netaaong	netaaong	netaa ong	netaa ong	netaa	netaa
नेताजी	netaajii	netaajii	netaa jii	netaa jii	netaa	netaa
नौ	nau	nau	nau	nau	nau	nau
नौकरी	naukarii	naukarii	naukar ii	naukar ii	naukar	naukar
नौका	naukaa	naukaa	nauk aa	nauk aa	nauk	nauk
नौजवान	naujavaan	naujavaan	nau javaan	nau javaan	javaan	javaan
न्यायपालिका	nyaayapaalikaa	nyaayapaalikaa	nyaaya paalikaa	nyaaya paalikaa	paalikaa	paalikaa
न्यायालय	nyaayaalay	nyaayaalay	nyaay aalay	nyaay aalay	aalay	aalay
पंक्ति	pankti	pankti	pankti	pankti	pankti	pankti
पक्ष	paksh	paksh	paksh	paksh	paksh	paksh
पखवाडे	pakhavaade	pakhavaade	pakhavaad e	pakhavaad e	pakhavaad	pakhavaad
पंचायत	panchhaayat	panchaayat	panchhaayat	panchaayat	panchhaayat	panchaayat
पंचायती	panchhaayatii	panchaayatii	panchhaayat ii	panchaayat ii	panchhaayat	panchaayat
पंचायतों	panchhaayatong	panchaayatong	panchhaayat ong	panchaayat ong	panchhaayat	panchaayat
पट्टी	pattii	pattii	patt ii	patt ii	patt	patt
पड	pad	pad	pad	pad	pad	pad
पड़	par	par	par	par	par	par
पड़ता	partaa	partaa	par t aa	par t aa	par	par
पड़ना	parnaa	parnaa	par n aa	par n aa	par	par
पड़ने	parne	parne	par n e	par n e	par	par
पड़ा	paraa	paraa	par aa	par aa	par	par
पड़ी	parii	parii	par ii	par ii	par	par
पड़ी	parii	parii	par ii	par ii	par	par
पड़ेगा	paregaa	paregaa	par e g aa	par e g aa	par	par
पड़ोसी	parosii	parosii	paros ii	paros ii	paros	paros
पड़ौसी	parausii	parausii	paraus ii	paraus ii	paraus	paraus
पढ़	parh	parh	parh	parh	parh	parh
पढ़ने	parhne	parhne	parh n e	parh n e	parh	parh
पढ़ा	parhaa	parhaa	parh aa	parh aa	parh	parh
पढे	padhe	padhe	padh e	padh e	padh	padh
पढ़े	parhe	parhe	parh e	parh e	parh	parh
पढ़ें	parheng	parheng	parh e ng	parh e ng	parh	parh
पता	pataa	pataa	pat aa	pat aa	pat	pat
पत्थर	patthar	patthar	patthar	patthar	patthar	patthar
पत्नी	patnii	patnii	patn ii	patn ii	patn	patn
पत्रकारों	patrakaarong	patrakaarong	patra kaar ong	patra kaar ong	kaar	kaar
पथ	path	path	path	path	path	path
पन्ना	pannaa	pannaa	pann aa	pann aa	pann	pann
पन्नों	pannong	pannong	pann ong	pann ong	pann	pann
पर	par	par	par	par	par	par
परंतु	parantu	parantu	parantu	parantu	parantu	parantu
परन्तु	parantu	parantu	parantu	parantu	parantu	parantu
परंपरा	paramparaa	paramparaa	param paraa	param paraa	paraa	paraa
परंपराओं	paramparaaong	paramparaaong	param paraa ong	param paraa ong	paraa	paraa
परमान	parmaan	parmaan	parmaan	parmaan	parmaan	parmaan
परमिट	parmit	parmit	parmit	parmit	parmit	parmit
परहेज	parhej	parhej	parhej	parhej	parhej	parhej
परिणाम	parinaam	parinaam	pari naam	pari naam	naam	naam
परिणामों	parinaamong	parinaamong	pari naam ong	pari naam ong	naam	naam
परिवार	parivaar	parivaar	pari vaar	pari vaar	vaar	vaar
परिवारों	parivaarong	parivaarong	pari vaar ong	pari vaar ong	vaar	vaar
परीक्षण	pariikshan	pariikshan	pari ikshan	pari ikshan	ikshan	ikshan
परेशान	pareshaan	pareshaan	pareshaan	pareshaan	pareshaan	pareshaan
परोक्ष	paroksh	paroksh	paroksh	paroksh	paroksh	paroksh
पर्याप्त	paryaapt	paryaapt	pary aap t	pary aap t	aap	aap
पलटू	paltuu	paltuu	palt uu	palt uu	palt	palt
पवित्र	pavitr	pavitr	pavitr	pavitr	pavitr	pavitr
पश्चिम	pashchhim	pashchim	pashchhim	pashchim	pashchhim	pashchim
पश्चिमी	pashchhimii	pashchimii	pashchhim ii	pashchim ii	pashchhim	pashchim
पहचान	pahchhaan	pahchaan	pahchhaan	pahchaan	pahchhaan	pahchaan
पहनाने	pahanaane	pahanaane	pahan aa n e	pahan aa n e	pahan	pahan
पहरा	pahraa	pahraa	pahr aa	pahr aa	pahr	pahr
पहला	pahlaa	pahlaa	pahl aa	pahl aa	pahl	pahl
पहली	pahlii	pahlii	pahl ii	pahl ii	pahl	pahl
पहले	pahle	pahle	pahl e	pahl e	pahl	pahl
पहाड़	pahaar	pahaar	pahaar	pahaar	pahaar	pahaar
पहाड़ों	pahaarong	pahaarong	pahaar ong	pahaar ong	pahaar	pahaar
पहुंच	pahunchh	pahunch	pahunchh	pahunch	pahunchh	pahunch
पंहुच	panhuchh	panhuch	panhuchh	panhuch	panhuchh	panhuch
पहुँचने	pahunchhane	pahunchane	pahunchha n e	pahuncha n e	pahunchha	pahuncha
पंहुचने	panhuchhane	panhuchane	panhuchha n e	panhucha n e	panhuchha	panhucha
पहुंचा	pahunchhaa	pahunchaa	pahunchh aa	pahunch aa	pahunchh	pahunch
पहुचाने	pahuchhaane	pahuchaane	pahuchh aa n e	pahuch aa n e	pahuchh	pahuch
पहुंचाने	pahunchhaane	pahunchaane	pahunchh aa n e	pahunch aa n e	pahunchh	pahunch
पहुँचाया	pahunchhaayaa	pahunchaayaa	pahunchh aa y aa	pahunch aa y aa	pahunchh	pahunch
पहुँची	pahunchhii	pahunchii	pahunchh ii	pahunch ii	pahunchh	pahunch
पहुंची	pahunchhii	pahunchii	pahunchh ii	pahunch ii	pahunchh	pahunch
पहुंचे	pahunchhe	pahunche	pahunchh e	pahunch e	pahunchh	pahunch
पंहुचे	panhuchhe	panhuche	panhuchh e	panhuch e	panhuchh	panhuch
पहूँची	pahuunchhii	pahuunchii	pahuunchh ii	pahuunch ii	pahuunchh	pahuunch
पा	paa	paa	paa	paa	paa	paa
पाई	paaii	paaii	paa ii	paa ii	paa	paa
पाए	paae	paae	paa e	paa e	paa	paa
पाएगी	paaegii	paaegii	paa e g ii	paa e g ii	paa	paa
पाएंगें	paaengeng	paaengeng	paa e ng e ng	paa e ng e ng	paa	paa
पाक	paak	paak	paak	paak	paak	paak
पाकिस्तानियो	paakistaaniyo	paakistaaniyo	paak istaan iy o	paak istaan iy o	istaan	istaan
पाकिस्तानी	paakistaanii	paakistaanii	paak istaan ii	paak istaan ii	istaan	istaan
पांच	paanchh	paanch	paanchh	paanch	paanchh	paanch
पाठ	paath	paath	paath	paath	paath	paath
पाठों	paathong	paathong	paath ong	paath ong	paath	paath
पानी	paanii	paanii	paan ii	paan ii	paan	paan
पाने	paane	paane	paa n e	paa n e	paa	paa
पापग्रह	paapagrah	paapagrah	paapa grah	paapa grah	grah	grah
पाया	paayaa	paayaa	paa yaa	paa yaa	paa	paa
पार	paar	paar	paar	paar	paar	paar
पारस	paaras	paaras	paaras	paaras	paaras	paaras
पारिवारिक	paarivaarik	paarivaarik	paari vaar ik	paari vaar ik	vaar	vaar
पार्षद	paarshad	paarshad	paarshad	paarshad	paarshad	paarshad
पास	paas	paas	paas	paas	paas	paas
पिछली	pichhlii	pichhlii	pichhl ii	pichhl ii	pichhl	pichhl
पिछले	pichhle	pichhle	pichhl e	pichhl e	pichhl	pichhl
पी	pii	pii	pii	pii	pii	pii
पीछे	piichhe	piichhe	piichh e	piichh e	piichh	piichh
पीड़ित	piirit	piirit	piirit	piirit	piirit	piirit
पीड़ितों	piiritong	piiritong	piirit ong	piirit ong	piirit	piirit
पीड़ितों	piiritong	piiritong	piirit ong	piirit ong	piirit	piirit
पीने	piine	piine	pii n e	pii n e	pii	pii
पुनर्जीवित	punarjiivit	punarjiivit	punar jiiv it	punar jiiv it	jiiv	jiiv
पुनामा	punaamaa	punaamaa	punaamaa	punaamaa	punaamaa	punaamaa
पुराना	puraanaa	puraanaa	puraan aa	puraan aa	puraan	puraan
पुरानी	puraanii	puraanii	puraan ii	puraan ii	puraan	puraan
पुरुष	purush	purush	purush	purush	purush	purush
पुरोधा	purodhaa	purodhaa	purodh aa	purodh aa	purodh	purodh
पुल	pul	pul	pul	pul	pul	pul
पुलिस	pulis	pulis	pulis	pulis	pulis	pulis
पुलिसवाले	pulisavaale	pulisavaale	pulisa vaal e	pulisa vaal e	vaal	vaal
पुष्टि	pushti	pushti	pushti	pushti	pushti	pushti
पुस्तक	pustak	pustak	pustak	pustak	pustak	pustak
पूछ	puuchh	puuchh	puuchh	puuchh	puuchh	puuchh
पूजा	puujaa	puujaa	puujaa	puujaa	puujaa	puujaa
पूरा	puuraa	puuraa	puur aa	puur aa	puur	puur
पूरी	puurii	puurii	puur ii	puur ii	puur	puur
पूरे	puure	puure	puur e	puur e	puur	puur
पूर्णतया	puurnatayaa	puurnatayaa	puurnatayaa	puurnatayaa	puurnatayaa	puurnatayaa
पूर्व	puurv	puurv	puurv	puurv	puurv	puurv
पूर्वाचल	puurvaachhal	puurvaachal	puurv aachhal	puurv aachal	aachhal	aachal
पूर्वानुमानों	puurvaanumaanong	puurvaanumaanong	puurv aanumaan ong	puurv aanumaan ong	aanumaan	aanumaan
पूर्वी	puurvii	puurvii	puurv ii	puurv ii	puurv	puurv
पेड़	per	per	per	per	per	per
पेड़ों	perong	perong	per ong	per ong	per	per
पेश	pesh	pesh	pesh	pesh	pesh	pesh
पैदा	paidaa	paidaa	paid aa	paid aa	paid	paid
पैदाइश	paidaaish	paidaaish	paidaa i sh	paidaa i sh	paid	paid
पैमाने	paimaane	paimaane	paimaan e	paimaan e	paimaan	paimaan
पैसा	paisaa	paisaa	pais aa	pais aa	pais	pais
पोत	pot	pot	pot	pot	pot	pot
पोल	pol	pol	pol	pol	pol	pol
प्रकल्प	prakalp	prakalp	pra kalp	pra kalp	kalp	kalp
प्रकार	prakaar	prakaar	pra kaar	pra kaar	kaar	kaar
प्रकारों	prakaarong	prakaarong	pra kaar ong	pra kaar ong	kaar	kaar
प्रकाशित	prakaashit	prakaashit	pra kaash it	pra kaash it	kaash	kaash
प्रकृति	prakriti	prakriti	pra kriti	pra kriti	kriti	kriti
प्रकोप	prakop	prakop	pra kop	pra kop	kop	kop
प्रक्रियाओं	prakriyaaong	prakriyaaong	pra kriyaa ong	pra kriyaa ong	kriyaa	kriyaa
प्रखंड	prakhand	prakhand	pra khand	pra khand	khand	khand
प्रगतिशील	pragatishiil	pragatishiil	pra gati shiil	pra gati shiil	shiil	shiil
प्रचार	prachhaar	prachaar	pra chhaar	pra chaar	chhaar	chaar
प्रताप	prataap	prataap	pra taap	pra taap	taap	taap
प्रति	prati	prati	prati	prati	prati	prati
प्रतिशत	pratishat	pratishat	prati shat	prati shat	shat	shat
प्रतीत	pratiit	pratiit	prati i t	prati i t	i	i
प्रत्यक्ष	pratyaksh	pratyaksh	praty aksh	praty aksh	aksh	aksh
प्रथम	pratham	pratham	pratham	pratham	pratham	pratham
प्रदेश	pradesh	pradesh	pra desh	pra desh	desh	desh
प्रधानमंत्री	pradhaanamantrii	pradhaanamantrii	pra dhaana mantrii	pra dhaana mantrii	mantrii	mantrii
प्रमुख	pramukh	pramukh	pra mukh	pra mukh	mukh	mukh
प्रयोग	prayog	prayog	pra yog	pra yog	yog	yog
प्रवक्ता	pravaktaa	pravaktaa	pra vaktaa	pra vaktaa	vaktaa	vaktaa
प्रवाह	pravaah	pravaah	pra vaah	pra vaah	vaah	vaah
प्रश्न	prashn	prashn	prashn	prashn	prashn	prashn
प्रस्तुत	prastut	prastut	pra stut	pra stut	stut	stut
प्रस्तुतिकरण	prastutikaran	prastutikaran	pra stuti karan	pra stuti karan	karan	karan
प्राकृतिक	praakritik	praakritik	praa krit ik	praa krit ik	krit	krit
प्रांत	praant	praant	praant	praant	praant	praant
प्रांतीय	praantiiy	praantiiy	praant iiy	praant iiy	praant	praant
प्राथमिक	praathmik	praathmik	praathm ik	praathm ik	praathm	praathm
प्राप्त	praapt	praapt	pra ap t	pra ap t	ap	ap
प्रेम	prem	prem	prem	prem	prem	prem
प्रेषित	preshit	preshit	pre shi t	pre shi t	shi	shi
फतह	phatah	phatah	phatah	phatah	phatah	phatah
फरियाद	phariyaad	phariyaad	phariyaad	phariyaad	phariyaad	phariyaad
फर्क	phark	phark	phark	phark	phark	phark
फर्ज	pharj	pharj	pharj	pharj	pharj	pharj
फलस्तीनियों	phalastiiniyong	phalastiiniyong	phalastiin iy ong	phalastiin iy ong	phalastiin	phalastiin
फलस्तीनी	phalastiinii	phalastiinii	phalastiin ii	phalastiin ii	phalastiin	phalastiin
फंस	phans	phans	phans	phans	phans	phans
फसलों	phaslong	phaslong	phasl ong	phasl ong	phasl	phasl
फंसे	phanse	phanse	phans e	phans e	phans	phans
फायदा	phaaydaa	phaaydaa	phaayd aa	phaayd aa	phaayd	phaayd
फायदे	phaayde	phaayde	phaayd e	phaayd e	phaayd	phaayd
फिर	phir	phir	phir	phir	phir	phir
फिलहाल	philhaal	philhaal	philhaal	philhaal	philhaal	philhaal
फूल	phuul	phuul	phuul	phuul	phuul	phuul
फैलाने	phailaane	phailaane	phail aa n e	phail aa n e	phail	phail
फैली	phailii	phailii	phail ii	phail ii	phail	phail
फैसला	phaisalaa	phaisalaa	phaisal aa	phaisal aa	phaisal	phaisal
फैसले	phaisale	phaisale	phaisal e	phaisal e	phaisal	phaisal
बगैर	bagair	bagair	ba gair	ba gair	gair	gair
बच	bachh	bach	bachh	bach	bachh	bach
बचने	bachhne	bachne	bachh n e	bach n e	bachh	bach
बचा	bachhaa	bachaa	bachh aa	bach aa	bachh	bach
बचान	bachhaan	bachaan	bachh aan	bach aan	bachh	bach
बचाने	bachhaane	bachaane	bachh aa n e	bach aa n e	bachh	bach
बचाया	bachhaayaa	bachaayaa	bachh aa y aa	bach aa y aa	bachh	bach
बचाव	bachhaav	bachaav	bachh aav	bach aav	bachh	bach
बचावकर्मियों	bachhaavakarmiyong	bachaavakarmiyong	bachh aava karm iy ong	bach aava karm iy ong	karm	karm
बचावकर्मी	bachhaavakarmii	bachaavakarmii	bachh aava karm ii	bach aava karm ii	karm	karm
बचे	bachhe	bache	bachh e	bach e	bachh	bach
